Reviewer,Rating,Title,Date,Body,review_key_aspects,aspect_sentiments,adjective_review,ner_review,emotions_review,empathy_review,predicted_sentiment,actual_sentiment,computed_sentiment_score,computed_sentiment
ROSHAN,5.0,Good,2025-06-27,good,,{},good,,"[('admiration', 0.5878942608833313), ('neutral', 0.12407136708498001), ('approval', 0.08707352727651596)]","[[{'label': 'neutral', 'score': 0.6325144171714783}, {'label': 'joy', 'score': 0.18647123873233795}, {'label': 'disgust', 'score': 0.10550987720489502}, {'label': 'sadness', 'score': 0.03491360694169998}, {'label': 'anger', 'score': 0.02631918340921402}, {'label': 'surprise', 'score': 0.009417631663382053}, {'label': 'fear', 'score': 0.0048540192656219006}]]",positive,positive,0.4404,positive
P.Kishore Kumar,3.0,Nothing,2025-06-27,good,,{},good,,"[('admiration', 0.5878942608833313), ('neutral', 0.12407136708498001), ('approval', 0.08707352727651596)]","[[{'label': 'neutral', 'score': 0.6325144171714783}, {'label': 'joy', 'score': 0.18647123873233795}, {'label': 'disgust', 'score': 0.10550987720489502}, {'label': 'sadness', 'score': 0.03491360694169998}, {'label': 'anger', 'score': 0.02631918340921402}, {'label': 'surprise', 'score': 0.009417631663382053}, {'label': 'fear', 'score': 0.0048540192656219006}]]",positive,neutral,0.4404,positive
Vikram,1.0,Do not buy this product,2025-06-21,not happy with product quality very bad smell i am using good knight from last 10 years but its looks like different product all refills are comming out of shipping box as packing inside the company box is not done,product quality good knight year look different product refill shipping box company box,"{'product': 'positive', 'quality': 'negative', 'smell': 'negative', 'knight': 'positive', 'years': 'positive', 'looks': 'positive', 'refills': 'positive', 'shipping': 'positive', 'box': 'positive', 'company': 'positive'}",happy bad good last different,"('last 10 years', 'DATE')","[('neutral', 0.270477294921875), ('disapproval', 0.22569280862808228), ('disappointment', 0.11759299039840698)]","[[{'label': 'sadness', 'score': 0.895039975643158}, {'label': 'surprise', 'score': 0.04399706795811653}, {'label': 'joy', 'score': 0.03087114542722702}, {'label': 'anger', 'score': 0.014776421710848808}, {'label': 'neutral', 'score': 0.007639640010893345}, {'label': 'disgust', 'score': 0.006091924384236336}, {'label': 'fear', 'score': 0.001583821838721633}]]",positive,negative,0.2034,positive
Devika,3.0,Good,2025-06-16,for mosquito repellent…,mosquito repellent,{'repellent': 'neutral'},,,"[('neutral', 0.5902127623558044), ('annoyance', 0.06883399188518524), ('sadness', 0.04932967200875282)]","[[{'label': 'neutral', 'score': 0.7931199669837952}, {'label': 'disgust', 'score': 0.050731707364320755}, {'label': 'anger', 'score': 0.047297410666942596}, {'label': 'sadness', 'score': 0.03548649698495865}, {'label': 'surprise', 'score': 0.03412671387195587}, {'label': 'fear', 'score': 0.030440695583820343}, {'label': 'joy', 'score': 0.008796908892691135}]]",neutral,neutral,0.0,neutral
Mohammad Azhar,1.0,Good night refill stick is broken. Lost of one refill,2025-06-10,product coil broken how to replace in refill customer image customer image,product coil refill customer image customer image,"{'product': 'negative', 'coil': 'negative', 'refill': 'negative', 'customer': 'negative', 'image': 'negative'}",,,"[('neutral', 0.2834271192550659), ('disappointment', 0.1837233006954193), ('sadness', 0.11226560175418854)]","[[{'label': 'neutral', 'score': 0.5304440855979919}, {'label': 'surprise', 'score': 0.19560179114341736}, {'label': 'sadness', 'score': 0.16048753261566162}, {'label': 'anger', 'score': 0.07737813144922256}, {'label': 'disgust', 'score': 0.01797301694750786}, {'label': 'fear', 'score': 0.013271531090140343}, {'label': 'joy', 'score': 0.004843909293413162}]]",negative,negative,-0.4767,negative
T. R. Sharma,1.0,Cheating.,2025-06-10,only two refills received in the packet instead of four refills its a cheating,refill packet cheating,"{'refills': 'negative', 'packet': 'negative', 'cheating': 'negative'}",,"('only two', 'CARDINAL')","[('neutral', 0.6832244396209717), ('annoyance', 0.050229158252477646), ('disappointment', 0.032250188291072845)]","[[{'label': 'sadness', 'score': 0.720879077911377}, {'label': 'neutral', 'score': 0.11157750338315964}, {'label': 'surprise', 'score': 0.10382237285375595}, {'label': 'disgust', 'score': 0.03269578889012337}, {'label': 'anger', 'score': 0.02041107974946499}, {'label': 'joy', 'score': 0.0061426046304404736}, {'label': 'fear', 'score': 0.004471598193049431}]]",negative,negative,-0.5574,negative
Nancy v f,3.0,Product ok,2025-06-09,package was broken,package,{'package': 'negative'},,,"[('neutral', 0.3579171299934387), ('sadness', 0.12907128036022186), ('disappointment', 0.11788520216941833)]","[[{'label': 'sadness', 'score': 0.4629547595977783}, {'label': 'neutral', 'score': 0.32443690299987793}, {'label': 'surprise', 'score': 0.1080503761768341}, {'label': 'anger', 'score': 0.0656546801328659}, {'label': 'disgust', 'score': 0.022866349667310715}, {'label': 'fear', 'score': 0.01270446926355362}, {'label': 'joy', 'score': 0.003332454012706876}]]",negative,neutral,-0.4767,negative
B R Krishna,4.0,Value for money,2025-06-08,good quality product at a good price,good quality product good price,"{'quality': 'positive', 'product': 'positive', 'price': 'positive'}",good good,,"[('admiration', 0.7263175249099731), ('approval', 0.11308115720748901), ('neutral', 0.07658254355192184)]","[[{'label': 'neutral', 'score': 0.5171530842781067}, {'label': 'joy', 'score': 0.42687293887138367}, {'label': 'disgust', 'score': 0.021264253184199333}, {'label': 'sadness', 'score': 0.013932951726019382}, {'label': 'surprise', 'score': 0.009816618636250496}, {'label': 'anger', 'score': 0.008524258621037006}, {'label': 'fear', 'score': 0.0024358697701245546}]]",positive,positive,0.7003,positive
Ganita,1.0,Less item,2025-06-06,recived only 5 refill bottles customer image,refill bottle customer image,"{'refill': 'neutral', 'bottles': 'neutral', 'customer': 'neutral', 'image': 'neutral'}",,"('only 5', 'CARDINAL')","[('neutral', 0.5929141044616699), ('disappointment', 0.07593563944101334), ('approval', 0.05874200910329819)]","[[{'label': 'neutral', 'score': 0.6800359487533569}, {'label': 'surprise', 'score': 0.15974090993404388}, {'label': 'sadness', 'score': 0.1214677169919014}, {'label': 'anger', 'score': 0.0161643885076046}, {'label': 'joy', 'score': 0.014265927486121655}, {'label': 'disgust', 'score': 0.004500180017203093}, {'label': 'fear', 'score': 0.0038249031640589237}]]",neutral,negative,0.0,neutral
Buyer,5.0,Worth for the money,2025-06-06,worth every penny yu pay at this price,yu price,"{'penny': 'positive', 'price': 'positive'}",worth,"('every penny', 'MONEY')","[('neutral', 0.44021645188331604), ('admiration', 0.23991668224334717), ('approval', 0.12853991985321045)]","[[{'label': 'neutral', 'score': 0.3370242118835449}, {'label': 'sadness', 'score': 0.29289478063583374}, {'label': 'anger', 'score': 0.21412159502506256}, {'label': 'surprise', 'score': 0.0773618221282959}, {'label': 'disgust', 'score': 0.0525670051574707}, {'label': 'joy', 'score': 0.022427208721637726}, {'label': 'fear', 'score': 0.0036034625954926014}]]",positive,positive,0.128,positive
Akhil,1.0,Fake I think,2025-06-06,it seems like fake,,{},fake,,"[('disapproval', 0.3098107874393463), ('neutral', 0.26763394474983215), ('annoyance', 0.15901504456996918)]","[[{'label': 'fear', 'score': 0.328875869512558}, {'label': 'disgust', 'score': 0.22677429020404816}, {'label': 'anger', 'score': 0.17417438328266144}, {'label': 'sadness', 'score': 0.14417001605033875}, {'label': 'surprise', 'score': 0.07128293067216873}, {'label': 'neutral', 'score': 0.05240923538804054}, {'label': 'joy', 'score': 0.0023132599890232086}]]",negative,negative,-0.1531,negative
Shashikant Rathore,3.0,Good product,2025-06-02,good product,good product,{'product': 'positive'},good,,"[('admiration', 0.6172888278961182), ('neutral', 0.16805608570575714), ('approval', 0.09166169166564941)]","[[{'label': 'neutral', 'score': 0.8036730289459229}, {'label': 'joy', 'score': 0.14797110855579376}, {'label': 'disgust', 'score': 0.018824240192770958}, {'label': 'sadness', 'score': 0.010956449434161186}, {'label': 'surprise', 'score': 0.010852250270545483}, {'label': 'anger', 'score': 0.006268120836466551}, {'label': 'fear', 'score': 0.0014547427417710423}]]",positive,neutral,0.4404,positive
Placeholder,1.0,Bad product,2025-05-31,old used items opened and licking,old item,{'items': 'neutral'},old,,"[('neutral', 0.619544506072998), ('annoyance', 0.11109164357185364), ('anger', 0.08498866111040115)]","[[{'label': 'disgust', 'score': 0.5230690240859985}, {'label': 'neutral', 'score': 0.22948791086673737}, {'label': 'anger', 'score': 0.10329961031675339}, {'label': 'sadness', 'score': 0.07089199870824814}, {'label': 'surprise', 'score': 0.05854487419128418}, {'label': 'joy', 'score': 0.007651925086975098}, {'label': 'fear', 'score': 0.007054690271615982}]]",neutral,negative,0.0,neutral
