Reviewer,Rating,Title,Date,Body
ROSHAN,5.0,Good,27 June 2025,Good
P.Kishore Kumar,3.0,Nothing,27 June 2025,Good
Vikram,1.0,Do not buy this product,21 June 2025,"Not happy with product quality.
Very bad smell. I am using good knight from last 10 years, but it's looks like different product.
All refills are comming out of shipping box as packing inside the company box is not done."
Devika,3.0,Good,16 June 2025,For mosquito repellent….
Mohammad Azhar,1.0,Good night refill stick is broken. Lost of one refill,10 June 2025,"Product coil broken, how to replace in refill???
Customer image
Customer image"
T. R. Sharma,1.0,Cheating.,10 June 2025,Only two refills received in the packet instead of four refills. It's a cheating.
Nancy v f,3.0,Product ok,9 June 2025,Package was broken
B R Krishna,4.0,Value for money,8 June 2025,Good quality product at a good price.
Ganita,1.0,Less item,6 June 2025,"Recived only 5 refill bottles.
Customer image"
Buyer,5.0,Worth for the money,6 June 2025,Worth every penny yu pay at this price
Akhil,1.0,Fake I think,6 June 2025,It seems like fake
Shashikant Rathore,3.0,Good product,2 June 2025,Good product
Placeholder,1.0,Bad product,31 May 2025,Old used items opened and licking
Vivek Soni,4.0,Quality,27 May 2025,Value for money ♥️👍💯
Karanpreet kaur,3.0,🤩,24 May 2025,"The product has good but I got 2 days late it just happened because of delivery partner because he kept my product and 2 days he was on leave so I had to wait for 2 days to received my product.
Customer image
Customer image
Customer image"
Sudarshan Thakare,4.0,Okay,21 May 2025,Oaky
suhaibvp,5.0,Good product,21 May 2025,All people know about good night product so no need my review
Chiranjit Moirangthem,5.0,Working.,20 May 2025,"I was sceptical at first because of some reviews but i bought it anyway since it had lots of buyer.
The moment i opened it the first bottle had quite a darkish liquid compare to the one i bought offline.i thought of returning it but then decided to just try it.
So after more than a week of using two of it,the darkish one too,i would say its working out fine.And i tell you i am from manipur and mosquitos and all kinds insects are famous over here.If i gave a 5 star review that means its working fine.
But then i havnt use all of it, still 10 left.If i find any of the product not working or looks fake i will update it here."
Yashasvi Barfa,1.0,Defective piece received,20 May 2025,We got defective pice we order 6 piece set of goodnight refills instead received only 4 pieces 2 are missing kindly help us with this order
Weglobal,1.0,Short quantity,19 May 2025,I had ordered 8 qty of good night power active + refill pack. I received only 7
Vivek,1.0,Poor,17 May 2025,Mosquitoes keep sitting on top of this.
Vasant gandhi,5.0,Good,14 May 2025,Good
mehmood hussain Khan,5.0,Excellent,10 May 2025,Excellent
Syed Basheer,4.0,Ok,10 May 2025,Ok
Gajendra Kumar,4.0,Two refill less,6 May 2025,"I ordered 6(six) no. Good night refill pack but when I open the box found only 4(four) no. of refill in it .so please send 2(two) refill
.
Customer image
One person found this helpful"
Placeholder,2.0,Pests,3 May 2025,"Not effective, not worth the money"
Deepak Kumar,1.0,Not upto the mark,3 May 2025,Not worth the money. Rather buy from a local shop after checking the authenticity of the product.
Chris Jayadurai,5.0,Fast delivery,29 April 2025,"Good...
Customer image"
Shreekanth B K,1.0,Based on your luck if you get a original product!,28 April 2025,"I bought a pack of 6, out of which 1-2 was a good original repellent but other bottles were not up to the mark, the mosquitos started flying on top of it no power at all, only the stickers are original but the refill is not.."
Vineeta Parasramka,1.0,Need full item,26 April 2025,"The box is torn n only 3 bottles of goodnight is there
Customer image"
Tapesh Kumar,1.0,Bad Product,21 April 2025,Very bad product it's like water
Awadhoot,5.0,useful,19 April 2025,Useful
Dr. M Y Achhava,4.0,Quality,14 April 2025,Good
Tausif khan,4.0,Effective,13 April 2025,Received old packaging which is going to expire in oct this year.
saurabh yadav,5.0,Guinune item,12 April 2025,Genuine products. You must go for purchase without any hesitation.
Vikk,1.0,Mosquito loves this,11 April 2025,Do not buy ...this stuff is fake ... zero shame godrej and amazon seller
Jagdish Kalra,4.0,"Size small, should be increased to run for a month.",11 April 2025,Good product
Rahul Som Chaudhury,2.0,Not effective,6 April 2025,Not so effective
Neeru K Bhandari,5.0,Worth buy,5 April 2025,Always a product praising
Jenny,1.0,Fake Products.!!,31 March 2025,Half of the Goodnight refill packs are fake. Has no odor even when used in a closed space. Fake products. CHECK the packaging after purchase.
Amazon Customer,1.0,Refund request,26 March 2025,"Product did not have all items. Request refund
Customer image"
Diya,5.0,Good,24 March 2025,Good
Monu keshri,1.0,Very poor,24 March 2025,No refunds my money very bed
Ayush Kumar,5.0,Very effective.,23 March 2025,"I am writing this review after using this product for months , it's very effective in killing mosquitos and bugs , The best product in market. Going to place another order after finishing this one .
One person found this helpful"
Sandeep,1.0,Cheating of amazon,22 March 2025,"It's not a good night liguid . There is a water fill in good night liguid bottle.
Amazon provide defective and cheat the customer.
Now I listen many of people whom amazon cheated"
SS Das,5.0,Good product,21 March 2025,Good product. Timely delivered
Nanaiah Chottepanda,5.0,Very good item,19 March 2025,Good one
Arnab Ghosh,4.0,Good Product,14 March 2025,Good Product
Debasree Dutta,5.0,Good,12 March 2025,Good
ANIL SATPUTE,5.0,Good,12 March 2025,Good
Safiur Rahaman,5.0,Good,9 March 2025,Good
Anil K.,5.0,अच्छा प्रोडक्ट,9 March 2025,"अच्छा है
One person found this helpful"
shwetha,4.0,Good,2 March 2025,Good
Jyotirmay Padhi,2.0,The supplier is not trust worthy.,17 February 2025,"Some of bottle of good night contains extremely bad quality liquid. Not at all effective.
One person found this helpful"
Muneesh,5.0,Worth for money,8 February 2025,"Best quality, quick Delivered.
Best prize......
Customer image
One person found this helpful"
Vinay Kumar Singh,5.0,Good item,6 February 2025,"Very good item
One person found this helpful"
just kidding,1.0,Fraud,4 February 2025,Only two refill pack instead of four
Sumanta k.,5.0,Very good 👍😊,27 January 2025,Very good 👍😊
Placeholder,4.0,Must required for Indian households,20 January 2025,"Must required for Indian households.
One person found this helpful"
Elson K,5.0,Good night,16 January 2025,Good night
SBC,5.0,Perfect,15 January 2025,Value for money combo
Anil Gupta,3.0,Ok,11 January 2025,Ok
K Anvesh,5.0,Good,10 January 2025,"Good
One person found this helpful"
Rajpal Singh,4.0,good,10 January 2025,good
